Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Mexico,Mexico,1961,BiocapPerCap,0.021525233899593,0,0.409275152603782,0.450274425450727,1.83933398398681,0.749142762292268,3.46955155823318,3A,MX
Mexico,Mexico,1961,EFConsPerCap,0.021525233899593,0.456375326627083,0.36969317862084,0.0166773621982431,0.292755304422394,0.69165673180249,1.84868313757064,3A,MX
Mexico,Mexico,1962,BiocapPerCap,0.022090652467541,0,0.404371534138553,0.43534501040527,1.76719548985407,0.724303991546259,3.35330667841169,3A,MX
Mexico,Mexico,1962,EFConsPerCap,0.022090652467541,0.435788136393684,0.354899159535599,0.0178961762236235,0.297985651537677,0.655256936554536,1.78391671271266,3A,MX
Mexico,Mexico,1963,BiocapPerCap,0.0236665371214211,0,0.418468891805949,0.420523633672736,1.69567935598826,0.699644969228323,3.25798338781668,3A,MX
Mexico,Mexico,1963,EFConsPerCap,0.0236665371214211,0.458614469860045,0.38082217510619,0.0205981470858278,0.298187609085041,0.645175837990828,1.82706477624935,3A,MX
Mexico,Mexico,1964,BiocapPerCap,0.0281331035820179,0,0.480817753552689,0.40677369194496,1.62844333852441,0.676768543775128,3.2209364313792,3A,MX
Mexico,Mexico,1964,EFConsPerCap,0.0281331035820179,0.509894738993959,0.421541027940489,0.0206738148079418,0.296946614594294,0.653687886228252,1.93087718614695,3A,MX
Mexico,Mexico,1965,BiocapPerCap,0.0290772428420303,0,0.480177646857467,0.392979583217599,1.5658847532874,0.65381863560517,3.12193786180966,3A,MX
Mexico,Mexico,1965,EFConsPerCap,0.0290772428420303,0.50879586873077,0.400132935388901,0.0213506380759779,0.298353855200784,0.628491360255135,1.8862019004936,3A,MX
Mexico,Mexico,1966,BiocapPerCap,0.0316973036383734,0,0.506045371787261,0.380995138595145,1.50704784388057,0.633879550812565,3.05966520871392,3A,MX
Mexico,Mexico,1966,EFConsPerCap,0.0316973036383734,0.535847626211786,0.435855145066441,0.0228270730528143,0.290324954505812,0.600845582240331,1.91739768471556,3A,MX
Mexico,Mexico,1967,BiocapPerCap,0.031615237489095,0,0.487838373722647,0.368521015686766,1.44818324161626,0.613125765199708,2.94928363371447,3A,MX
Mexico,Mexico,1967,EFConsPerCap,0.031615237489095,0.5844487384159,0.409407892826807,0.0260420263846837,0.29670587938486,0.591155031391304,1.93937480589265,3A,MX
Mexico,Mexico,1968,BiocapPerCap,0.0337600461342728,0,0.503592056341412,0.356778210504743,1.38774138171642,0.593588707321471,2.87546040201832,3A,MX
Mexico,Mexico,1968,EFConsPerCap,0.0337600461342728,0.59562070389047,0.439454220754352,0.0264157668723285,0.292108242991014,0.559858989589758,1.9472179702322,3A,MX
Mexico,Mexico,1969,BiocapPerCap,0.0330964658642413,0,0.477304050641089,0.34354394142551,1.3304756342166,0.57157023073353,2.75599032288097,3A,MX
Mexico,Mexico,1969,EFConsPerCap,0.0330964658642413,0.634038134913485,0.408440974443658,0.025436157559453,0.29252782981817,0.529049677703683,1.92258924030269,3A,MX
Mexico,Mexico,1970,BiocapPerCap,0.0378572952899844,0,0.501039340724054,0.333628256905603,1.27568516755564,0.562221040063639,2.71043110053892,3A,MX
Mexico,Mexico,1970,EFConsPerCap,0.0378572952899844,0.700708307928598,0.47946217396429,0.0256367643638523,0.303173437283737,0.51219724333906,2.05903522216952,3A,MX
Mexico,Mexico,1971,BiocapPerCap,0.0369149700953971,0,0.474223674346143,0.322638576264662,1.22333703632793,0.538589854130495,2.59570411116463,3A,MX
Mexico,Mexico,1971,EFConsPerCap,0.0369149700953971,0.750070760737042,0.44562287970481,0.0299545404650783,0.279476465079652,0.502895421865385,2.04493503794737,3A,MX
Mexico,Mexico,1972,BiocapPerCap,0.0358218042598602,0,0.446282744056315,0.313478068802552,1.17306514298618,0.524522768497586,2.4931705286025,3A,MX
Mexico,Mexico,1972,EFConsPerCap,0.0358218042598602,0.825164414784749,0.422840856445583,0.0309595119376945,0.274720870113303,0.477683200953555,2.06719065849474,3A,MX
Mexico,Mexico,1973,BiocapPerCap,0.0380010710030883,0,0.460419410150435,0.301753494277716,1.12644900555476,0.506012533682005,2.432635514668,3A,MX
Mexico,Mexico,1973,EFConsPerCap,0.0380010710030883,0.918716848203384,0.460441039525611,0.0346372512967871,0.274530066016645,0.471663209231874,2.19798948527739,3A,MX
Mexico,Mexico,1974,BiocapPerCap,0.0384187657718763,0,0.450774430745105,0.29352149635437,1.07948242769322,0.49328576379286,2.35548288435743,3A,MX
Mexico,Mexico,1974,EFConsPerCap,0.0384187657718763,0.952866984224956,0.491169629548908,0.0318119426648111,0.285788802816928,0.47840742960899,2.27846355463647,3A,MX
Mexico,Mexico,1975,BiocapPerCap,0.0393148375763322,0,0.448440634336746,0.284769617531651,1.03756959663319,0.478400259512931,2.28849494559085,3A,MX
Mexico,Mexico,1975,EFConsPerCap,0.0393148375763322,0.947985296069341,0.480665994923004,0.0344735682392051,0.280841173482304,0.474733087484641,2.25801395777483,3A,MX
Mexico,Mexico,1976,BiocapPerCap,0.0362498201343414,0,0.402521228828061,0.276454913513638,0.998062282979335,0.464259814578551,2.17754806003393,3A,MX
Mexico,Mexico,1976,EFConsPerCap,0.0362498201343414,0.976215336384126,0.390390595046829,0.0320076793191456,0.280844873009789,0.451853726667846,2.16756203056208,3A,MX
Mexico,Mexico,1977,BiocapPerCap,0.0398369243694918,0,0.43229380196087,0.27029670398087,0.961262655440267,0.453744049347203,2.1574341350987,3A,MX
Mexico,Mexico,1977,EFConsPerCap,0.0398369243694918,0.985240095127458,0.452067172162926,0.0315778865995493,0.282497815313222,0.434464908654018,2.22568480222666,3A,MX
Mexico,Mexico,1978,BiocapPerCap,0.0432901020735383,0,0.458405191344265,0.26375717046836,0.925253161125997,0.445982413405909,2.13668803841807,3A,MX
Mexico,Mexico,1978,EFConsPerCap,0.0432901020735383,1.05618570368011,0.478438599002238,0.0409802378319073,0.242245232365146,0.41127397244993,2.27241384740287,3A,MX
Mexico,Mexico,1979,BiocapPerCap,0.0391851579800175,0,0.401161687975097,0.257689975389825,0.886996023436544,0.43555753623508,2.02059038101656,3A,MX
Mexico,Mexico,1979,EFConsPerCap,0.0391851579800175,1.12223832225871,0.424552057015808,0.0483097310136609,0.250294019111161,0.422505006217476,2.30708429359683,3A,MX
Mexico,Mexico,1980,BiocapPerCap,0.0448597782789667,0,0.453070529848501,0.251539755931099,0.846416678532885,0.425043396957419,2.02093013954887,3A,MX
Mexico,Mexico,1980,EFConsPerCap,0.0448597782789667,1.26536445399655,0.568763860825359,0.0556568362023228,0.265571193863858,0.428613452134998,2.62882957530205,3A,MX
Mexico,Mexico,1981,BiocapPerCap,0.0485623990784423,0,0.484191495886637,0.246231315051775,0.817952078182651,0.415158879131011,2.01209616733051,3A,MX
