Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Mexico,Mexico,1961,Earths,0.006908271212901995,0.14646830533517388,0.11864868718201825,0.0053524036820543535,0.09395637935455024,0.22197911120544728,0.593313157972145,3A,MX
Mexico,Mexico,1962,Earths,0.007180455420221026,0.1416507407662082,0.11535818588716153,0.005817062024535673,0.09685873651200408,0.21298796984986385,0.5798531504599942,3A,MX
Mexico,Mexico,1963,Earths,0.007844254471212569,0.15200739285623135,0.12622320006038343,0.00682723909069282,0.09883404039319231,0.2138430065164504,0.6055791333881619,3A,MX
Mexico,Mexico,1964,Earths,0.009459624381233621,0.1714497190396382,0.14174119730412316,0.006951473449780245,0.09984690907463278,0.2197994916648407,0.6492484149142475,3A,MX
Mexico,Mexico,1965,Earths,0.009950154551787245,0.1741085823262507,0.13692441783458542,0.007306131113923039,0.10209588943825969,0.21506805865245976,0.6454532339172665,3A,MX
Mexico,Mexico,1966,Earths,0.010957564134163466,0.18523924928575433,0.15067245970691445,0.007891179635501738,0.10036356230926327,0.20770864541792539,0.6628326604895234,3A,MX
Mexico,Mexico,1967,Earths,0.011099616655943797,0.2051908341256038,0.1437367240357669,0.009142949184350328,0.10416880537027767,0.20754530896499443,0.6808842383369371,3A,MX
Mexico,Mexico,1968,Earths,0.01205921484458352,0.21275794486564487,0.1569746925510212,0.0094358108022385,0.10434215777111595,0.19998372665967235,0.695553547494278,3A,MX
Mexico,Mexico,1969,Earths,0.012053959045852486,0.2309210216917232,0.1487569941391021,0.009264022411431153,0.10654063472710787,0.19268350809479523,0.7002201401100119,3A,MX
Mexico,Mexico,1970,Earths,0.01398674494089881,0.2588834808692463,0.1771419507040579,0.009471751257464803,0.11201036702865202,0.18923623959766164,0.7607305343979808,3A,MX
Mexico,Mexico,1971,Earths,0.013803756456383537,0.28047683851596733,0.16663347381675092,0.011201016288900738,0.10450570728571508,0.1880496153327673,0.7646704076964869,3A,MX
Mexico,Mexico,1972,Earths,0.013725165991150989,0.3161627058412117,0.16201196624423522,0.011862173029235795,0.10525962110076108,0.18302487436732653,0.7920465065739196,3A,MX
Mexico,Mexico,1973,Earths,0.01468750494972464,0.355086262023668,0.17796156446588496,0.013387380577380899,0.10610652797496199,0.1822989599328178,0.8495281999244385,3A,MX
Mexico,Mexico,1974,Earths,0.015209675137434443,0.37723224544234624,0.19445003900363628,0.012594087907338755,0.11314144953463706,0.18939758843097285,0.9020250854563658,3A,MX
Mexico,Mexico,1975,Earths,0.015848773950257612,0.3821560914858215,0.19376823532132387,0.013897139705108606,0.11321395556586615,0.19137653502049334,0.9102607310488723,3A,MX
Mexico,Mexico,1976,Earths,0.014755830022256243,0.39737762878324906,0.15891216125900753,0.013029026728680618,0.11432054540951112,0.18393130671887967,0.8823264989215854,3A,MX
Mexico,Mexico,1977,Earths,0.016503686976375692,0.40816640300199986,0.1872829095055826,0.013082123282930002,0.11703352076572181,0.1799906234763636,0.9220592670089713,3A,MX
Mexico,Mexico,1978,Earths,0.017981506625938757,0.438710220564592,0.19873011210390137,0.01702205314404698,0.10062194456082317,0.17083179078954103,0.9438976277888435,3A,MX
Mexico,Mexico,1979,Earths,0.016614972113445446,0.4758423696665148,0.18001511163029385,0.02048389938887948,0.10612763510650683,0.17914713779319877,0.9782311256988377,3A,MX
Mexico,Mexico,1980,Earths,0.019355413556023125,0.5459601729168146,0.24540156381372058,0.024013963582626315,0.11458461193981993,0.18493160109169177,1.1342473269006943,3A,MX
